sample,rep,dose,fc,λ̂,λ,cell_count_day_3
Week 2 C,2,100.0,1.1262,0.03961637794612705,0.2883297479013819,2.3749805398463866
Week 2 C,3,100.0,0.9255,-0.02580704898952829,0.22290632096572655,1.9517354729424885
Week 2 C,4,100.0,0.8643,-0.04861178274118153,0.2001015872140733,1.8226741969359186
Week 3 C,1,100.0,1.0383,0.012528253442423738,0.2612416233976786,2.1896131189153816
Week 3 C,2,100.0,1.0094,0.003118698308008343,0.25183206826326315,2.1286675163567237
Week 3 C,3,100.0,1.0912,0.029092669369020187,0.277806039324275,2.3011709865746552
Week 3 C,4,100.0,0.7571,-0.0927533112909587,0.15596005866429613,1.5966060794865025
Week 4 C,1,100.0,1.0361,0.011821221425189687,0.26053459138044455,2.184973661281159
Week 4 C,2,100.0,0.9424,-0.019775155361604926,0.2289382145936499,1.9873749429508385
Week 4 C,3,100.0,1.0305,0.010014707116125548,0.2587280770713804,2.1731641327576816
Week 4 C,4,100.0,0.991,-0.003013581550716357,0.2456997884045385,2.0898647797795853
Week 2 I,1,100.0,0.7893,-0.07886960075592676,0.1698437691993281,1.664510868496495
Week 2 I,2,100.0,0.8239,-0.06456870522019759,0.18414466473505725,1.7374768840165489
Week 2 I,3,100.0,0.8713,-0.04592297658163199,0.20279039337362284,1.8374361075902648
Week 2 I,4,100.0,0.779,-0.08324807770379625,0.1654652922514586,1.6427897713908142
Week 3 I,1,100.0,1.0645,0.020835068450465705,0.2695484384057205,2.2448648416502204
Week 3 I,2,100.0,0.9726,-0.009260793670817204,0.23945257628443764,2.051062043202447
Week 3 I,3,100.0,1.1481,0.046036134039209704,0.29474950399446453,2.421164231750698
Week 3 I,4,100.0,0.7826,-0.08171118973527501,0.1670021802199798,1.6503816111559062
Week 4 I,1,100.0,0.8998,-0.03519425419168836,0.21351911576356647,1.897538172397246
Week 4 I,2,100.0,0.8754,-0.04435811807511405,0.20435525188014078,1.8460823695449533
Week 4 I,3,100.0,1.0256,0.008425935728089536,0.25713930568334437,2.162830795299639
Week 4 I,4,100.0,0.8657,-0.04807228358680298,0.20064108636845185,1.825626579066788
Vector Control,1,300.0,0.1161,-0.7177677967594304,-0.46905442680417553,0.2448368324242279
Vector Control,2,300.0,0.1294,-0.6816156323051122,-0.4329022623498574,0.27288446266748567
Vector Control,3,300.0,0.1236,-0.6969015779861821,-0.4481882080309273,0.2606531652681703
Vector Control,4,300.0,0.1314,-0.6765030576438756,-0.4277896876886208,0.27710215142587036
V600E,1,300.0,0.2944,-0.4076052973758053,-0.15889192742055047,0.6208437852342178
V600E,2,300.0,0.2971,-0.40456216550452506,-0.15584879554927022,0.626537665058037
V600E,3,300.0,0.2887,-0.4141223974377492,-0.16540902748249436,0.6088233722728217
V600E,4,300.0,0.2973,-0.4043378496593617,-0.15562447970410687,0.6269594339338755
Week 1,1,300.0,0.8866,-0.04012045222372795,0.20859291773152688,1.8697014265919074
Week 1,2,300.0,0.84,-0.05811779571492593,0.1905955742403289,1.7714292785215453
Week 1,3,300.0,0.8259,-0.06376052605515525,0.18495284390009958,1.7416945727749338
Week 1,4,300.0,0.8138,-0.06868021447151583,0.180033155483739,1.7161775557867067
Week 2 C,1,300.0,0.8947,-0.037088937476195565,0.21162443247905927,1.886783066063365
Week 2 C,2,300.0,0.8853,-0.040609569455044556,0.20810380050021027,1.8669599288989571
Week 2 C,3,300.0,0.991,-0.003013581550716357,0.2456997884045385,2.0898647797795853
Week 2 C,4,300.0,0.9961,-0.0013025416103390256,0.24741082834491582,2.100619886113466
Week 3 C,1,300.0,0.9209,-0.02746794208493855,0.22124542787031629,1.942034788798204
Week 3 C,2,300.0,1.1063,0.03367370468624273,0.2823870746414976,2.3330145367004596
Week 3 C,3,300.0,0.9347,-0.022509885597866444,0.2262034843573884,1.971136841231058
Week 3 C,4,300.0,1.0381,0.012464039739020896,0.2611774096942757,2.1891913500395432
