sample,rep,day,treatment,dose,log_dose,fc,growth_rate_unnormalised,growth_rate
Week 1,4,7,continuous,10,2.30258509299405,0.6798,-0.128652213906707,0.0767259919660589
Week 2 C,1,14,continuous,10,2.30258509299405,0.8059,-0.0719318712172238,0.133446334655542
Week 2 C,2,14,continuous,10,2.30258509299405,0.8216,-0.0655005401225962,0.13987766575017
Week 2 C,3,14,continuous,10,2.30258509299405,0.6773,-0.12988032425376,0.0754978816190063
Week 2 C,4,14,continuous,10,2.30258509299405,0.7785,-0.0834620959026947,0.121916109970071
Week 3 C,1,21,continuous,10,2.30258509299405,0.8988,-0.035564912890321,0.169813292982445
Week 3 C,2,21,continuous,10,2.30258509299405,0.7887,-0.0791230861927306,0.126255119680035
Week 3 C,3,21,continuous,10,2.30258509299405,0.869,-0.046804051238915,0.158574154633851
Week 3 C,4,21,continuous,10,2.30258509299405,0.6906,-0.123398164675415,0.081980041197351
Week 4 C,1,28,continuous,10,2.30258509299405,0.7554,-0.0935026229012602,0.111875582971506
Week 4 C,2,28,continuous,10,2.30258509299405,0.6983,-0.119702156376716,0.0856760494960502
Week 4 C,3,28,continuous,10,2.30258509299405,0.8874,-0.039819813345776,0.16555839252699
Week 4 C,4,28,continuous,10,2.30258509299405,0.868,-0.047187854773929,0.158190351098837
Week 2 I,1,14,intermittent,10,2.30258509299405,0.8994,-0.0353424682151767,0.170035737657589
Week 2 I,2,14,intermittent,10,2.30258509299405,0.9174,-0.0287372322730218,0.176640973599744
Week 2 I,3,14,intermittent,10,2.30258509299405,1.0433,0.0141295888305955,0.219507794703362
Week 2 I,4,14,intermittent,10,2.30258509299405,0.7331,-0.103491053584199,0.101887152288567
Week 3 I,1,21,intermittent,10,2.30258509299405,0.796,-0.076052031045918,0.129326174826848
Week 3 I,2,21,intermittent,10,2.30258509299405,0.8281,-0.0628737863141609,0.142504419558605
Week 3 I,3,21,intermittent,10,2.30258509299405,0.889,-0.0392193478227442,0.166158858050022
Week 3 I,4,21,intermittent,10,2.30258509299405,0.6842,-0.126501668812878,0.0788765370598884
Week 4 I,1,28,intermittent,10,2.30258509299405,0.9252,-0.0259151162082843,0.179463089664482
Week 4 I,2,28,intermittent,10,2.30258509299405,0.8899,-0.0388820607064402,0.166496145166326
Week 4 I,3,28,intermittent,10,2.30258509299405,1.0583,0.0188879490391806,0.224266154911947
Week 4 I,4,28,intermittent,10,2.30258509299405,0.9462,-0.0184337719283631,0.186944433944403
V600E,1,0,nil,30,3.40119738166216,0.785,-0.0806905203999095,0.124687685472856
V600E,2,0,nil,30,3.40119738166216,0.8111,-0.0697879759686127,0.135590229904153
V600E,3,0,nil,30,3.40119738166216,0.7256,-0.106918793393737,0.0984594124790293
V600E,4,0,nil,30,3.40119738166216,0.8153,-0.0680663784377573,0.137311827435009
Week 1,1,7,continuous,30,3.40119738166216,1.0314,0.0103057008782405,0.215683906751007
Week 1,2,7,continuous,30,3.40119738166216,1.0318,0.0104349499428042,0.21581315581557
Week 1,3,7,continuous,30,3.40119738166216,0.9442,-0.0191390902899835,0.186239115582782
Week 1,4,7,continuous,30,3.40119738166216,0.9927,-0.00244225846215362,0.202935947410612
Week 2 C,1,14,continuous,30,3.40119738166216,0.8123,-0.0692951829750763,0.13608302289769
Week 2 C,2,14,continuous,30,3.40119738166216,0.8202,-0.0660690220080594,0.139309183864707
Week 2 C,3,14,continuous,30,3.40119738166216,0.846,-0.0557453064586379,0.149632899414128
Week 2 C,4,14,continuous,30,3.40119738166216,0.8533,-0.052881364479866,0.1524968413929
Week 3 C,1,21,continuous,30,3.40119738166216,0.8754,-0.044358118075114,0.161020087797652
Week 3 C,2,21,continuous,30,3.40119738166216,1.0872,0.027868527951599,0.233246733824365
Week 3 C,3,21,continuous,30,3.40119738166216,0.9676,-0.0109788334154216,0.194399372457344
Week 3 C,4,21,continuous,30,3.40119738166216,0.9828,-0.005783212778371,0.199594993094395
Week 4 C,1,28,continuous,30,3.40119738166216,0.9254,-0.0258430675030793,0.179535138369687
Week 4 C,2,28,continuous,30,3.40119738166216,0.8041,-0.0726772131426779,0.132700992730088
Week 4 C,3,28,continuous,30,3.40119738166216,0.8721,-0.045617060916399,0.159761144956367
Week 4 C,4,28,continuous,30,3.40119738166216,0.89,-0.0388446054186505,0.166533600454116
Week 2 I,1,14,intermittent,30,3.40119738166216,0.9065,-0.0327214162624104,0.172656789610356
Week 2 I,2,14,intermittent,30,3.40119738166216,1.0813,0.0260546736564514,0.231432879529217
Week 2 I,3,14,intermittent,30,3.40119738166216,0.9861,-0.00466583654795122,0.200712369324815
Week 2 I,4,14,intermittent,30,3.40119738166216,1.0261,0.00858840262867547,0.213966608501442
Week 3 I,1,21,intermittent,30,3.40119738166216,0.9094,-0.0316567458637423,0.173721460009024
Week 3 I,2,21,intermittent,30,3.40119738166216,1.0879,0.0280830774816333,0.233461283354399
Week 3 I,3,21,intermittent,30,3.40119738166216,1.0262,0.00862088650857579,0.213999092381342
Week 3 I,4,21,intermittent,30,3.40119738166216,0.9765,-0.0079268428884678,0.197451362984298
Week 4 I,1,28,intermittent,30,3.40119738166216,0.9728,-0.0091922559234115,0.196185949949355
Week 4 I,2,28,intermittent,30,3.40119738166216,0.9646,-0.0120139237824218,0.193364282090344
Week 4 I,3,28,intermittent,30,3.40119738166216,0.9144,-0.0298290555005121,0.175549150372254
Week 4 I,4,28,intermittent,30,3.40119738166216,0.9262,-0.0255550283118285,0.179823177560938
V600E,1,0,nil,100,4.60517018598809,0.5573,-0.194883861468882,0.0104943444038839
V600E,2,0,nil,100,4.60517018598809,0.594,-0.173625319873164,0.031752885999602
V600E,3,0,nil,100,4.60517018598809,0.5911,-0.175256690383938,0.0301215154888283
V600E,4,0,nil,100,4.60517018598809,0.5579,-0.194525181376885,0.0108530244958812
Week 1,1,7,continuous,100,4.60517018598809,1.0489,0.015913998661807,0.221292204534573
Week 1,2,7,continuous,100,4.60517018598809,1.0025,0.000832293399529049,0.206210499272295
Week 1,3,7,continuous,100,4.60517018598809,0.9019,-0.0344172099368248,0.170960995935941
Week 1,4,7,continuous,100,4.60517018598809,0.848,-0.0549582143967447,0.150419991476021
Week 2 C,1,14,continuous,100,4.60517018598809,1.084,0.0268859676724848,0.232264173545251
Week 2 C,2,14,continuous,100,4.60517018598809,1.1262,0.0396163779461271,0.244994583818893
Week 2 C,3,14,continuous,100,4.60517018598809,0.9255,-0.0258070489895283,0.179571156883238
Week 2 C,4,14,continuous,100,4.60517018598809,0.8643,-0.0486117827411815,0.156766423131584
Week 3 C,1,21,continuous,100,4.60517018598809,1.0383,0.0125282534424237,0.21790645931519
Week 3 C,2,21,continuous,100,4.60517018598809,1.0094,0.00311869830800834,0.208496904180774
Week 3 C,3,21,continuous,100,4.60517018598809,1.0912,0.0290926693690202,0.234470875241786
Week 3 C,4,21,continuous,100,4.60517018598809,0.7571,-0.0927533112909587,0.112624894581807
Week 4 C,1,28,continuous,100,4.60517018598809,1.0361,0.0118212214251897,0.217199427297956
Week 4 C,2,28,continuous,100,4.60517018598809,0.9424,-0.0197751553616049,0.185603050511161
Week 4 C,3,28,continuous,100,4.60517018598809,1.0305,0.0100147071161255,0.215392912988892
Week 4 C,4,28,continuous,100,4.60517018598809,0.991,-0.00301358155071636,0.20236462432205
Week 2 I,1,14,intermittent,100,4.60517018598809,0.7893,-0.0788696007559268,0.126508605116839
Week 2 I,2,14,intermittent,100,4.60517018598809,0.8239,-0.0645687052201976,0.140809500652568
Week 2 I,3,14,intermittent,100,4.60517018598809,0.8713,-0.045922976581632,0.159455229291134
Week 2 I,4,14,intermittent,100,4.60517018598809,0.779,-0.0832480777037963,0.12213012816897
Week 3 I,1,21,intermittent,100,4.60517018598809,1.0645,0.0208350684504657,0.226213274323232
Week 3 I,2,21,intermittent,100,4.60517018598809,0.9726,-0.0092607936708172,0.196117412201949
Week 3 I,3,21,intermittent,100,4.60517018598809,1.1481,0.0460361340392097,0.251414339911976
Week 3 I,4,21,intermittent,100,4.60517018598809,0.7826,-0.081711189735275,0.123667016137491
Week 4 I,1,28,intermittent,100,4.60517018598809,0.8998,-0.0351942541916884,0.170183951681078
Week 4 I,2,28,intermittent,100,4.60517018598809,0.8754,-0.044358118075114,0.161020087797652
Week 4 I,3,28,intermittent,100,4.60517018598809,1.0256,0.00842593572808954,0.213804141600856
Week 4 I,4,28,intermittent,100,4.60517018598809,0.8657,-0.048072283586803,0.157305922285963
V600E,1,0,nil,300,5.7037824746562,0.2944,-0.407605297375805,-0.202227091503039
V600E,2,0,nil,300,5.7037824746562,0.2971,-0.404562165504525,-0.199183959631759
V600E,3,0,nil,300,5.7037824746562,0.2887,-0.414122397437749,-0.208744191564983
V600E,4,0,nil,300,5.7037824746562,0.2973,-0.404337849659362,-0.198959643786596
Week 1,1,7,continuous,300,5.7037824746562,0.8866,-0.0401204522237279,0.165257753649038
Week 1,2,7,continuous,300,5.7037824746562,0.84,-0.0581177957149259,0.14726041015784
Week 1,3,7,continuous,300,5.7037824746562,0.8259,-0.0637605260551553,0.141617679817611
Week 1,4,7,continuous,300,5.7037824746562,0.8138,-0.0686802144715158,0.13669799140125
Week 2 C,1,14,continuous,300,5.7037824746562,0.8947,-0.0370889374761956,0.16828926839657
Week 2 C,2,14,continuous,300,5.7037824746562,0.8853,-0.0406095694550446,0.164768636417721
Week 2 C,3,14,continuous,300,5.7037824746562,0.991,-0.00301358155071636,0.20236462432205
Week 2 C,4,14,continuous,300,5.7037824746562,0.9961,-0.00130254161033903,0.204075664262427
Week 3 C,1,21,continuous,300,5.7037824746562,0.9209,-0.0274679420849386,0.177910263787827
Week 3 C,2,21,continuous,300,5.7037824746562,1.1063,0.0336737046862427,0.239051910559009
Week 3 C,3,21,continuous,300,5.7037824746562,0.9347,-0.0225098855978664,0.1828683202749
Week 3 C,4,21,continuous,300,5.7037824746562,1.0381,0.0124640397390209,0.217842245611787
Week 4 C,1,28,continuous,300,5.7037824746562,0.8684,-0.0470342803260001,0.158343925546766
Week 4 C,2,28,continuous,300,5.7037824746562,0.8256,-0.0638816280849463,0.14149657778782
Week 4 C,3,28,continuous,300,5.7037824746562,0.8369,-0.0593502299811029,0.146027975891663
Week 4 C,4,28,continuous,300,5.7037824746562,0.84,-0.0581177957149259,0.14726041015784
Week 2 I,1,14,intermittent,300,5.7037824746562,0.4837,-0.242096799717733,-0.0367185938449671
Week 2 I,2,14,intermittent,300,5.7037824746562,0.5058,-0.227204648248757,-0.0218264423759914
Week 2 I,3,14,intermittent,300,5.7037824746562,0.5115,-0.223469231196819,-0.0180910253240526
Week 2 I,4,14,intermittent,300,5.7037824746562,0.539,-0.20601323602438,-0.000635030151613911
Week 3 I,1,21,intermittent,300,5.7037824746562,0.8494,-0.0544083537009887,0.150969852171777
Week 3 I,2,21,intermittent,300,5.7037824746562,1.0067,0.00222588491774683,0.207604090790513
Week 3 I,3,21,intermittent,300,5.7037824746562,0.9364,-0.0219041811217938,0.183474024750972
Week 3 I,4,21,intermittent,300,5.7037824746562,0.9554,-0.0152083926754252,0.190169813197341
Week 4 I,1,28,intermittent,300,5.7037824746562,0.5067,-0.226612055500091,-0.021233849627325
Week 4 I,2,28,intermittent,300,5.7037824746562,0.5313,-0.210809481841746,-0.00543127596898048
Week 4 I,3,28,intermittent,300,5.7037824746562,0.5133,-0.222298269805293,-0.0169200639325272
Week 4 I,4,28,intermittent,300,5.7037824746562,0.4821,-0.243201239190187,-0.0378230333174208
V600E,1,0,nil,1000,6.90775527898214,0.1697,-0.591241035580652,-0.385862829707886
